year,county_full,amount,name,state,lat,lon,change
2010,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,NA
2011,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2012,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2013,"ABBEVILLE COUNTY, SC",138,Abbeville County,SC,34.229041,-82.454058,138
2014,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,-138
2015,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2016,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2017,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2018,"ABBEVILLE COUNTY, SC",1000,Abbeville County,SC,34.229041,-82.454058,1000
2019,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,-1000
2020,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2021,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2022,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2010,"ACADIA PARISH, LA",139,Acadia Parish,LA,30.291497,-92.411037,NA
2011,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,-139
2012,"ACADIA PARISH, LA",200,Acadia Parish,LA,30.291497,-92.411037,200
2013,"ACADIA PARISH, LA",210,Acadia Parish,LA,30.291497,-92.411037,10
2014,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,-210
2015,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,0
2016,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,0
2017,"ACADIA PARISH, LA",200,Acadia Parish,LA,30.291497,-92.411037,200
2018,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,-200
2019,"ACADIA PARISH, LA",1000,Acadia Parish,LA,30.291497,-92.411037,1000
2020,"ACADIA PARISH, LA",250,Acadia Parish,LA,30.291497,-92.411037,-750
2021,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,-250
2022,"ACADIA PARISH, LA",250,Acadia Parish,LA,30.291497,-92.411037,250
2010,"ACCOMACK COUNTY, VA",79,Accomack County,VA,37.765944,-75.757807,NA
2011,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,-79
2012,"ACCOMACK COUNTY, VA",632,Accomack County,VA,37.765944,-75.757807,632
2013,"ACCOMACK COUNTY, VA",744,Accomack County,VA,37.765944,-75.757807,112
2014,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,-744
2015,"ACCOMACK COUNTY, VA",150,Accomack County,VA,37.765944,-75.757807,150
2016,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,-150
2017,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,0
2018,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,0
2019,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,0
2020,"ACCOMACK COUNTY, VA",125,Accomack County,VA,37.765944,-75.757807,125
2021,"ACCOMACK COUNTY, VA",65,Accomack County,VA,37.765944,-75.757807,-60
2022,"ACCOMACK COUNTY, VA",335,Accomack County,VA,37.765944,-75.757807,270
2010,"ADA COUNTY, ID",1333,Ada County,ID,43.451477,-116.244376,NA
2011,"ADA COUNTY, ID",1563,Ada County,ID,43.451477,-116.244376,230
