year,county_full,amount,name,state,lat,lon,change
2012,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,NA
2016,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2020,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2022,"ABBEVILLE COUNTY, SC",0,Abbeville County,SC,34.229041,-82.454058,0
2012,"ACADIA PARISH, LA",200,Acadia Parish,LA,30.291497,-92.411037,NA
2016,"ACADIA PARISH, LA",0,Acadia Parish,LA,30.291497,-92.411037,-200
2020,"ACADIA PARISH, LA",250,Acadia Parish,LA,30.291497,-92.411037,250
2022,"ACADIA PARISH, LA",250,Acadia Parish,LA,30.291497,-92.411037,0
2012,"ACCOMACK COUNTY, VA",632,Accomack County,VA,37.765944,-75.757807,NA
2016,"ACCOMACK COUNTY, VA",0,Accomack County,VA,37.765944,-75.757807,-632
2020,"ACCOMACK COUNTY, VA",125,Accomack County,VA,37.765944,-75.757807,125
2022,"ACCOMACK COUNTY, VA",335,Accomack County,VA,37.765944,-75.757807,210
2012,"ADA COUNTY, ID",3517,Ada County,ID,43.451477,-116.244376,NA
2016,"ADA COUNTY, ID",6489,Ada County,ID,43.451477,-116.244376,2972
2020,"ADA COUNTY, ID",8115.5,Ada County,ID,43.451477,-116.244376,1626.5
2022,"ADA COUNTY, ID",2960,Ada County,ID,43.451477,-116.244376,-5155.5
2012,"ADAIR COUNTY, IA",92,Adair County,IA,41.328528,-94.478164,NA
2016,"ADAIR COUNTY, IA",80,Adair County,IA,41.328528,-94.478164,-12
2020,"ADAIR COUNTY, IA",0,Adair County,IA,41.328528,-94.478164,-80
2022,"ADAIR COUNTY, IA",0,Adair County,IA,41.328528,-94.478164,0
2012,"ADAIR COUNTY, KY",0,Adair County,KY,37.105559,-85.28138,NA
2016,"ADAIR COUNTY, KY",0,Adair County,KY,37.105559,-85.28138,0
2020,"ADAIR COUNTY, KY",0,Adair County,KY,37.105559,-85.28138,0
2022,"ADAIR COUNTY, KY",0,Adair County,KY,37.105559,-85.28138,0
2012,"ADAIR COUNTY, MO",110,Adair County,MO,40.190666,-92.603592,NA
2016,"ADAIR COUNTY, MO",0,Adair County,MO,40.190666,-92.603592,-110
2020,"ADAIR COUNTY, MO",100,Adair County,MO,40.190666,-92.603592,100
2022,"ADAIR COUNTY, MO",150,Adair County,MO,40.190666,-92.603592,50
